Coeff,Y
21347.325660121867,2000
21918.665276329513,2001
22450.86869837653,2002
23002.845261545197,2003
23459.821428571428,2004
23861.05645527471,2005
24336.21488113615,2006
24754.651801837168,2007
25555.19533149619,2008
25745.080427859884,2009
26146.446637366284,2010
26852.324987225347,2011
27662.74785050009,2012
27974.447697631087,2013
28029.158147390877,2014
28001.776198934283,2015
27974.447697631087,2016
28280.563279217866,2017
28590.859630032643,2018
28728.929384965835,2019
28645.407467974925,2020
29178.23431426985,2021
31530.0,2022
